French,,,,,,,,gentle,,,,
Gabonese,,,,,,,,genuine,,,,
Gambians,,,,,,,,gracious,,,,
Georgians,,,,,,,,greedy,,,,
Germans,,,,,,,,handicap,,,,
BalticGermans,,,,,,,,handicapable,,,,
Ghanaians,,,,,,,,helpful,,,,
Gibraltarians,,,,,,,,heroic,,,,
Greeks,,,,,,,,honest,,,,
GreekMacedonians,,,,,,,,humble,,,,
Grenadians,,,,,,,,humorous,,,,
Guatemalans,,,,,,,,idealistic,,,,
GuianeseFrench,,,,,,,,impartial,,,,
Guineans,,,,,,,,impatient,,,,
GuineaBissaunationals,,,,,,,,impulsive,,,,
Guyanese,,,,,,,,indecisive,,,,
Haitians,,,,,,,,independent,,,,
Hondurans,,,,,,,,innovative,,,,
Hong Kongers,,,,,,,,insightful,,,,
Hungarians,,,,,,,,Integrity,,,,
Icelanders,,,,,,,,intuitive,,,,
I-Kiribati,,,,,,,,keen,,,,
Indians,,,,,,,,Kind,,,,
Indonesians,,,,,,,,lazy,,,,
Iranians,,,,,,,,liberal,,,,
Iraqis,,,,,,,,livelaughlove,,,,
Irish,,,,,,,,Lively,,,,
Israelis,,,,,,,,lovable,,,,
Italians,,,,,,,,Loving,,,,
Ivoirians,,,,,,,,Loyal,,,,
Jamaicans,,,,,,,,mature,,,,
Japanese,,,,,,,,meticulous,,,,
Jordanians,,,,,,,,modest,,,,
Kazakhs,,,,,,,,naughty,,,,
Kenyans,,,,,,,,nosy,,,,
Koreans,,,,,,,,obediant,,,,
Kosovars,,,,,,,,opinionated,,,,
Kuwaitis,,,,,,,,optimistic,,,,
Kyrgyzs,,,,,,,,organised,,,,
Lao,,,,,,,,original,,,,
Latvians,,,,,,,,outrageous,,,,
Lebanese,,,,,,,,partyanimal,,,,
Liberians,,,,,,,,passionate,,,,
Libyans,,,,,,,,passive,,,,
Liechtensteiners,,,,,,,,Patient,,,,
Lithuanians,,,,,,,,Peaceful,,,,
Luxembourgers,,,,,,,,perceptive,,,,
Macao,,,,,,,,Persistent,,,,
Macedonians,,,,,,,,Persuasive,,,,
Malagasy,,,,,,,,pessimistic,,,,
Malawians,,,,,,,,petty,,,,
Malaysians,,,,,,,,picky,,,,
Maldivians,,,,,,,,pioneering,,,,
Malians,,,,,,,,Playful,,,,
Maltese,,,,,,,,polished,,,,
Manx,,,,,,,,polite,,,,
Marshallese,,,,,,,,pompous,,,,
Mauritanians,,,,,,,,powerful,,,,
Mauritians,,,,,,,,practical,,,,
Mexicans,,,,,,,,precise,,,,
Micronesians,,,,,,,,prententious,,,,
Moldovans,,,,,,,,Proactive,,,,
Monégasque,,,,,,,,procrastinator,,,,
Mongolians,,,,,,,,profound,,,,
Montenegrins,,,,,,,,protective,,,,
Moroccans,,,,,,,,quiet,,,,
Mozambicans,,,,,,,,relaxed,,,,
Namibians,,,,,,,,Reliable,,,,
Naurans,,,,,,,,reserved,,,,
Nepalese,,,,,,,,Resourceful,,,,
NewZealanders,,,,,,,,responsible,,,,
Nicaraguans,,,,,,,,ridiculous,,,,
Nigeriens,,,,,,,,romantic,,,,
Nigerians,,,,,,,,Rough,,,,
Norwegians,,,,,,,,Rowdy,,,,
Omani,,,,,,,,ruthless,,,,
Pakistanis,,,,,,,,sadistic,,,,
Palauans,,,,,,,,secure,,,,
Palestinians,,,,,,,,Selfcontrol,,,,
Panamanians,,,,,,,,selfish,,,,
Papua New Guineans,,,,,,,,selfless,,,,
Paraguayans,,,,,,,,sensible,,,,
Peruvians,,,,,,,,sensitive,,,,
Poles,,,,,,,,sentimental,,,,
Portuguese,,,,,,,,shameless,,,,
Puerto Ricans,,,,,,,,Shy,,,,
Qatari,,,,,,,,Silly,,,,
Quebecers,,,,,,,,Sincere,,,,
Réunionnais,,,,,,,,sly,,,,
Romanians,,,,,,,,Smart,,,,
Russians,,,,,,,,sneaky,,,,
BalticRussians,,,,,,,,sociable,,,,
Rwandans,,,,,,,,solid,,,,
Saint Kitts and Nevis,,,,,,,,Spiritual,,,,
SaintLucians,,,,,,,,sporting,,,,
Salvadorans,,,,,,,,stable,,,,
Sammarinese,,,,,,,,stingy,,,,
Samoans,,,,,,,,straightforward,,,,
SãoToméandPríncipe,,,,,,,,Strong,,,,
Saudis,,,,,,,,Stubborn,,,,
Scots,,,,,,,,suave,,,,
Senegalese,,,,,,,,suble,,,,
Serbs,,,,,,,,submissive,,,,
Seychellois,,,,,,,,superficial,,,,
SierraLeoneans,,,,,,,,sympathetic,,,,
Singaporeans,,,,,,,,tactless,,,,
Slovaks,,,,,,,,Talkative,,,,
Slovenes,,,,,,,,tasteful,,,,
SolomonIslanders,,,,,,,,tasteless,,,,
Somalis,,,,,,,,thoughtful,,,,
Somalilanders,,,,,,,,tidy,,,,
Sotho,,,,,,,,Tolerant,,,,
SouthAfricans,,,,,,,,Tough,,,,
Spaniards,,,,,,,,unassuming,,,,
SriLankans,,,,,,,,understanding,,,,
Sudanese,,,,,,,,upright,,,,
Surinamese,,,,,,,,versatile,,,,
Swazi,,,,,,,,warm,,,,
Swedes,,,,,,,,wellread,,,,
Swiss,,,,,,,,wellrounded,,,,
Syriacs,,,,,,,,Wild,,,,
Syrians,,,,,,,,willing,,,,
Taiwanese,,,,,,,,wise,,,,
Tamils,,,,,,,,witty,,,,
Tajik,,,,,,,,Zany,,,,
Tanzanians,,,,,,,,artistic,,,,
Thais,,,,,,,,,,,,
Tibetans,,,,,,,,,,,,
Tobagonians,,,,,,,,,,,,
Togolese,,,,,,,,,,,,
Tongans,,,,,,,,,,,,
Trinidadians,,,,,,,,,,,,
Tunisians,,,,,,,,,,,,
Turks,,,,,,,,,,,,
Tuvaluans,,,,,,,,,,,,
Ugandans,,,,,,,,,,,,
Ukrainians,,,,,,,,,,,,
Uruguayans,,,,,,,,,,,,
Uzbeks,,,,,,,,,,,,
Vanuatuans,,,,,,,,,,,,
Venezuelans,,,,,,,,,,,,
Vietnamese,,,,,,,,,,,,
Vincentians,,,,,,,,,,,,
Welsh,,,,,,,,,,,,
Yemenis,,,,,,,,,,,,
Zambians,,,,,,,,,,,,
Zimbabweans,,,,,,,,,,,,
Aromanians,,,,,,,,,,,,
Assyrians,,,,,,,,,,,,
Basques,,,,,,,,,,,,
Bengalis,,,,,,,,,,,,
Berbers,,,,,,,,,,,,
Boers,,,,,,,,,,,,
Buryats,,,,,,,,,,,,
Cajuns,,,,,,,,,,,,
Catalans,,,,,,,,,,,,
Celts,,,,,,,,,,,,
Chuvash,,,,,,,,,,,,
HanChinese,,,,,,,,,,,,
HispanicandLatinoAmericans,,,,,,,,,,,,
Hutus,,,,,,,,,,,,
Igbo,,,,,,,,,,,,
IndigenousAustralians,,,,,,,,,,,,
IndigenouspeopleoftheAmericas,,,,,,,,,,,,
FirstNations,,,,,,,,,,,,
Huaoranipeople,,,,,,,,,,,,
Inuit,,,,,,,,,,,,
CanadianInuit,,,,,,,,,,,,
GreenlandicInuit,,,,,,,,,,,,
Métispeople,,,,,,,,,,,,
NativeAmericans,,,,,,,,,,,,
Malayali,,,,,,,,,,,,
Kannadigas,,,,,,,,,,,,
Karen,,,,,,,,,,,,
Kodavas,,,,,,,,,,,,
Kurds,,,,,,,,,,,,
Macedonians,,,,,,,,,,,,
Malays,,,,,,,,,,,,
Roma,,,,,,,,,,,,
Samis,,,,,,,,,,,,
Sikhs,,,,,,,,,,,,
Silesians,,,,,,,,,,,,
Sindhis,,,,,,,,,,,,
Sinhalese,,,,,,,,,,,,
Syriacs,,,,,,,,,,,,
Tamils,,,,,,,,,,,,
Tatars,,,,,,,,,,,,
Tutsis,,,,,,,,,,,,
Zulus,,,,,,,,,,,,
